Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
NIFTY LargeMidcap 250,24-02-2023,9713.65,9733.45,9640.75,9655.85,-24.15,-.25,1008547663,30183.47,22.52,3.61,1.38
NIFTY LargeMidcap 250,27-02-2023,9640.85,9645,9540,9604.85,-51.0,-.53,982764807,30502.64,22.4,3.59,1.37
NIFTY LargeMidcap 250,28-02-2023,9612.75,9642.55,9583.2,9615.6,10.75,.11,1641064434,58447.94,22.42,3.59,1.36
NIFTY LargeMidcap 250,01-03-2023,9636.9,9733.25,9634.25,9727.45,111.85,1.16,1209799902,34232.34,22.69,3.64,1.35
NIFTY LargeMidcap 250,02-03-2023,9725.3,9732.2,9679.65,9686.65,-40.8,-.42,1128056650,35719.27,22.59,3.62,1.35
NIFTY LargeMidcap 250,03-03-2023,9745.25,9807.7,9737.65,9782.3,95.65,.99,1323169800,40481.58,22.81,3.66,1.34
NIFTY LargeMidcap 250,06-03-2023,9827.55,9896.05,9824.85,9850.6,68.3,.7,1159042998,41299.18,22.97,3.68,1.33
NIFTY LargeMidcap 250,08-03-2023,9823.05,9888.1,9794.85,9879.65,29.05,.29,950508215,38854.27,23.04,3.69,1.33
NIFTY LargeMidcap 250,09-03-2023,9899.1,9904.9,9798.3,9809.25,-70.4,-.71,888150863,34796.78,22.88,3.67,1.33
NIFTY LargeMidcap 250,10-03-2023,9743.2,9743.95,9668.8,9733.35,-75.9,-.77,843044272,32332.88,22.7,3.64,1.34
NIFTY LargeMidcap 250,13-03-2023,9725.9,9767.75,9551,9576.3,-232.95,-2.37,1397279351,37455.89,22.33,3.58,1.36
NIFTY LargeMidcap 250,14-03-2023,9583.1,9599.3,9480.3,9515.55,-60.75,-.63,1116786638,41962.91,22.19,3.56,1.36
NIFTY LargeMidcap 250,15-03-2023,9581.15,9603.5,9487.2,9500.25,-15.3,-.16,969289312,36469.27,22.16,3.55,1.37
