INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTSTK,BRITANNIA,29-Apr-2021,0,XX,3539.50,3607.95,3519.35,3597.45,3597.45,2522,18057.27,1741200,-40000,30-Mar-2021
FUTSTK,BRITANNIA,27-May-2021,0,XX,3600,3605,3568.70,3600.55,3600.55,78,559.36,22600,6400,30-Mar-2021
FUTSTK,BRITANNIA,24-Jun-2021,0,XX,3580,3580,3580,3580,3648.05,5,35.80,1000,1000,30-Mar-2021
FUTSTK,CADILAHC,29-Apr-2021,0,XX,425.25,438.20,424.70,437.20,437.20,2223,21182.35,10120000,176000,30-Mar-2021
FUTSTK,CADILAHC,27-May-2021,0,XX,431.35,439.70,431.35,439.15,439.15,28,268.47,187000,6600,30-Mar-2021
FUTSTK,CADILAHC,24-Jun-2021,0,XX,0,0,0,424.15,438.40,0,0,0,0,30-Mar-2021
FUTSTK,CANBK,29-Apr-2021,0,XX,148.85,150.30,145.60,148.20,148.20,3701,29678.02,54307800,907200,30-Mar-2021
FUTSTK,CANBK,27-May-2021,0,XX,149.50,150.80,146.65,149,149,106,852.72,864000,-21600,30-Mar-2021
FUTSTK,CANBK,24-Jun-2021,0,XX,0,0,0,146.15,148.35,0,0,5400,0,30-Mar-2021
FUTSTK,CHOLAFIN,29-Apr-2021,0,XX,557.25,562.90,547.20,553.25,553.25,1043,14458.53,4640000,-15000,30-Mar-2021
FUTSTK,CHOLAFIN,27-May-2021,0,XX,558.85,558.85,549,549,558.65,7,96.66,67500,7500,30-Mar-2021
FUTSTK,CHOLAFIN,24-Jun-2021,0,XX,0,0,0,542.55,560.25,0,0,0,0,30-Mar-2021
FUTSTK,CIPLA,29-Apr-2021,0,XX,795.35,822,795.35,817.45,817.45,4118,43522.36,10614500,81900,30-Mar-2021
FUTSTK,CIPLA,27-May-2021,0,XX,806.40,824.35,806.40,821.65,821.65,44,466.16,71500,0,30-Mar-2021
FUTSTK,CIPLA,24-Jun-2021,0,XX,0,0,0,802.20,819.40,0,0,2600,0,30-Mar-2021
FUTSTK,COALINDIA,29-Apr-2021,0,XX,131.05,134.55,130.45,133.35,133.35,4626,25780.71,38241000,-1335600,30-Mar-2021
FUTSTK,COALINDIA,27-May-2021,0,XX,131.60,135.30,130.85,134,134,172,960.55,1869000,8400,30-Mar-2021
FUTSTK,COALINDIA,24-Jun-2021,0,XX,132,134.45,132,134.45,134.45,9,50.40,42000,21000,30-Mar-2021
FUTSTK,COFORGE,29-Apr-2021,0,XX,2863.45,3000,2795.05,2976.50,2976.50,1971,21478.66,491250,12000,30-Mar-2021
